AdultTotal,AdultsReleased,AdultsShipped,Comments,DateOfReport,Facility,JackTotal,LethalSpawned,LiveSpawned,Mortality,OnHand,OnHandJacks,Species,Stock,Surplus,TotalEggtake,WeekEndingDate
1,1,0,,3/4/2002 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Spring Chinook,,0,0,3/6/2003 0:00
60,0,0,,8/1/2002 0:00,Issaquah Lk Washington,0,0,0,5,55,0,Searun Cutthroat,,0,0,8/22/2002 0:00
3898,0,0,,8/7/2002 0:00,Baker,0,0,0,3,3895,0,Sockeye,Baker,0,0,8/22/2002 0:00
74,74,0,,8/16/2002 0:00,Sunset Falls Skykomish,35,0,0,0,0,0,Summer Chinook,,0,0,8/22/2002 0:00
17,17,0,,8/16/2002 0:00,Sunset Falls,0,0,0,0,0,0,Coho,Skykomish,0,0,8/22/2002 0:00
1114,1114,0,,8/16/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,8/22/2002 0:00
1,1,0,,8/16/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Cutthroat,,0,0,8/22/2002 0:00
61,61,0,,8/16/2002 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,8/22/2002 0:00
1004,0,4,,8/21/2002 0:00,George Adams George Adams,20,0,0,0,1000,0,Fall Chinook,,0,0,8/22/2002 0:00
3780,0,2130,,8/21/2002 0:00,Kendall Creek Nooksack,22,397,0,51,1202,0,Spring Chinook,,0,528000,8/22/2002 0:00
450,0,0,,8/21/2002 0:00,Sol Duc,20,0,0,0,450,0,Summer Coho,Soleduck,0,0,8/22/2002 0:00
1,0,1,Released into Henderson B,8/21/2002 0:00,Minter Creek,0,0,0,0,0,0,Chum,Unknown,0,0,8/22/2002 0:00
4,4,0,,8/21/2002 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Whitefish,Wenatchee,0,0,8/22/2002 0:00
80,80,0,,8/21/2002 0:00,Marblemount,0,0,80,0,0,0,Rainbow,Ross Lake,0,232000,8/22/2002 0:00
173,173,0,,8/30/2002 0:00,Sunset Falls Skykomish,53,0,0,0,0,0,Summer Chinook,,0,0,9/5/2002 0:00
157,157,0,,8/30/2002 0:00,Sunset Falls,2,0,0,0,0,0,Coho,Skykomish,0,0,9/5/2002 0:00
1261,1261,0,,8/30/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,9/5/2002 0:00
1,1,0,,8/30/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Cutthroat,,0,0,9/5/2002 0:00
72,72,0,,8/30/2002 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,9/5/2002 0:00
2515,0,5,,9/4/2002 0:00,George Adams,70,0,0,10,2500,0,Fall Chinook,George Adams,0,0,9/5/2002 0:00
5593,3283,1161,Released to various sites on t,9/4/2002 0:00,Kendall Creek Nooksack,27,597,0,52,500,0,Spring Chinook,,0,738000,9/5/2002 0:00
38,0,38,,9/4/2002 0:00,Merwin Dam,4,0,0,0,0,0,Type-S Coho,Lewis,0,0,9/5/2002 0:00
1,0,1,,9/4/2002 0:00,Minter Creek,0,0,0,0,0,0,Chum,Unknown,0,0,9/5/2002 0:00
4,4,0,,9/4/2002 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Whitefish,Wenatchee,0,0,9/5/2002 0:00
0,173,0,,9/13/2002 0:00,Sunset Falls,38,0,0,0,0,0,Fall Chinook,Skykomish,0,0,9/19/2002 0:00
173,173,0,,9/13/2002 0:00,Sunset Falls Skykomish,53,0,0,0,0,0,Summer Chinook,,0,0,9/19/2002 0:00
2173,2173,0,,9/13/2002 0:00,Sunset Falls,10,0,0,0,0,0,Coho,Skykomish,0,0,9/19/2002 0:00
1339,1339,0,,9/13/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,9/19/2002 0:00
1,1,0,,9/13/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Cutthroat,,0,0,9/19/2002 0:00
74,74,0,,9/13/2002 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,9/19/2002 0:00
5649,3731,1161,Final Rep,9/18/2002 0:00,Kendall Creek Nooksack,42,705,0,52,0,0,Spring Chinook,,0,878000,9/19/2002 0:00
520,374,0,,9/18/2002 0:00,Cowlitz Salmon,12,0,0,0,146,0,Type-N Coho,Cowlitz - H,0,0,9/19/2002 0:00
1747,1491,219,,9/18/2002 0:00,North Toutle,134,0,0,3,34,0,Type-S Coho,Toutle,0,0,9/19/2002 0:00
1,0,1,Final Rep,9/18/2002 0:00,Minter Creek,0,0,0,0,0,0,Chum,Unknown,0,0,9/19/2002 0:00
1,0,1,Unknown ra,9/18/2002 0:00,Minter Creek Minter,0,0,0,0,0,0,Steelhead,,0,0,9/19/2002 0:00
4,4,0,,9/18/2002 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Whitefish,Wenatchee,0,0,9/19/2002 0:00
138,0,0,,9/18/2002 0:00,Speelyai,0,0,0,0,138,0,Kokanee,Lewis,0,0,9/19/2002 0:00
5649,3731,1161,Fi,9/18/2002 0:00,Kendall Creek Nooksack,42,705,0,52,0,0,Spring Chinook,,0,878000,11/14/2002 0:00
1625,0,125,,9/19/2002 0:00,Sol Duc,200,0,0,0,1500,0,Summer Coho,Soleduck,0,0,9/19/2002 0:00
